wind_farm_name,country,package_group,role_type,company_name,source_type,source_title,source_url,source_date,confidence,notes,package_subscope,phase,consortium_or_jv,public_confirmed_flag
Dogger Bank A,United Kingdom,Foundations,MP fabricator,Sif,developer website,"Sif-Smulders to provide monopiles and transition pieces on all three phases of Dogger Bank Wind Farm",https://doggerbank.com/press-releases/sif-smulders-to-provide-monopiles-and-transition-pieces-on-all-three-phases-of-dogger-bank-wind-farm/,2021-11-12,high,"Source confirms Sif responsible for fabrication and supply of monopiles across all three phases; applied to A phase.",Monopiles,A,"Sif-Smulders consortium",true
Dogger Bank A,United Kingdom,Foundations,TP fabricator,Smulders,developer website,"Sif-Smulders to provide monopiles and transition pieces on all three phases of Dogger Bank Wind Farm",https://doggerbank.com/press-releases/sif-smulders-to-provide-monopiles-and-transition-pieces-on-all-three-phases-of-dogger-bank-wind-farm/,2021-11-12,high,"Source confirms Smulders manufactures secondary steel and assembles/coats/tests transition pieces across all three phases; applied to A phase.",Transition pieces,A,"Sif-Smulders consortium",true
Dogger Bank A,United Kingdom,Foundations,Foundation installer,Seaway7,developer website,"Dogger Bank Wind Farm signs contract with Seaway7 confirming second turbine installation vessel",https://doggerbank.com/construction/dogger-bank-wind-farm-signs-contract-with-seaway7-confirming-second-turbine-installation-vessel/,2025-04-11,high,"Project states Seaway7 already holds contracts for transport and installation of monopile foundations and transition pieces on all three phases, with A complete.",Monopiles and transition pieces,A,,true
Dogger Bank A,United Kingdom,Inter-array cables,IAC supplier,Hellenic Cables,developer website,"Inter-array cable works completed on Dogger Bank A",https://doggerbank.com/construction/inter-array-cable-works-completed-on-dogger-bank-a/,2024-07-23,high,"66kV inter-array cables manufactured by Hellenic Cables under DEME contract for Dogger Bank A.",66kV array cable supply,A,,true
Dogger Bank A,United Kingdom,Inter-array cables,IAC installer,DEME Offshore,developer website,"Inter-array cable works completed on Dogger Bank A",https://doggerbank.com/construction/inter-array-cable-works-completed-on-dogger-bank-a/,2024-07-23,high,"Project states DEME laid and buried Dogger Bank A inter-array cables.",66kV array cable installation and burial,A,,true
Dogger Bank A,United Kingdom,Export cables,Export cable supplier,NKT,developer website,"Dogger Bank confirms NKT for third phase of world’s largest offshore wind farm",https://doggerbank.com/press-releases/dogger-bank-confirms-nkt-for-third-phase-of-worlds-largest-offshore-wind-farm/,2021-06-30,medium,"Same release states NKT had already been confirmed for A and B export cable systems.",HVDC onshore and offshore export cable systems,A,,true
Dogger Bank A,United Kingdom,Export cables,Export cable installer,NKT,developer website,"Dogger Bank confirms NKT for third phase of world’s largest offshore wind farm",https://doggerbank.com/press-releases/dogger-bank-confirms-nkt-for-third-phase-of-worlds-largest-offshore-wind-farm/,2021-06-30,medium,"NKT described as main contractor for delivery and installation of HVDC export cable systems; release also references prior A/B confirmation.",HVDC export cable installation,A,,true
Dogger Bank A,United Kingdom,WTG,WTG OEM,GE Vernova,developer website,"GE’s Haliade-X 14MW turbine to debut at Dogger Bank C",https://doggerbank.com/press-releases/ges-haliade-x-14mw-turbine-to-debut-at-dogger-bank-c/,2020-12-18,high,"Release confirms GE Haliade-X turbine technology selected for all three phases and 13MW units for A/B.",Haliade-X turbines,A,,true
Dogger Bank A,United Kingdom,WTG,WTG installer,Seaway7,developer website,"Dogger Bank Wind Farm signs contract with Seaway7 confirming second turbine installation vessel",https://doggerbank.com/construction/dogger-bank-wind-farm-signs-contract-with-seaway7-confirming-second-turbine-installation-vessel/,2025-04-11,medium,"Release confirms Seaway7 vessel under contract for turbine transport and installation work; article is for ongoing multi-phase programme.",Turbine transport and installation,A,,true
Dogger Bank B,United Kingdom,Foundations,MP fabricator,Sif,developer website,"Sif-Smulders to provide monopiles and transition pieces on all three phases of Dogger Bank Wind Farm",https://doggerbank.com/press-releases/sif-smulders-to-provide-monopiles-and-transition-pieces-on-all-three-phases-of-dogger-bank-wind-farm/,2021-11-12,high,"Sif fabrication/supply role applies across A/B/C; row mapped to B.",Monopiles,B,"Sif-Smulders consortium",true
Dogger Bank B,United Kingdom,Foundations,TP fabricator,Smulders,developer website,"Sif-Smulders to provide monopiles and transition pieces on all three phases of Dogger Bank Wind Farm",https://doggerbank.com/press-releases/sif-smulders-to-provide-monopiles-and-transition-pieces-on-all-three-phases-of-dogger-bank-wind-farm/,2021-11-12,high,"Smulders TP role applies across A/B/C; row mapped to B.",Transition pieces,B,"Sif-Smulders consortium",true
Dogger Bank B,United Kingdom,Foundations,Foundation installer,Seaway7,developer website,"Dogger Bank Wind Farm signs contract with Seaway7 confirming second turbine installation vessel",https://doggerbank.com/construction/dogger-bank-wind-farm-signs-contract-with-seaway7-confirming-second-turbine-installation-vessel/,2025-04-11,high,"Project states Seaway7 holds transport/installation contracts for foundations on all three phases and B substantially complete.",Monopiles and transition pieces,B,,true
Dogger Bank B,United Kingdom,Inter-array cables,IAC supplier,Hellenic Cables,developer website,"Inter-array cable works completed on Dogger Bank A",https://doggerbank.com/construction/inter-array-cable-works-completed-on-dogger-bank-a/,2024-07-23,medium,"Same release says Hellenic Cables and DEME are responsible for manufacture/installation for B and C as well.",66kV array cable supply,B,,true
Dogger Bank B,United Kingdom,Inter-array cables,IAC installer,DEME Offshore,developer website,"DEME Offshore signs contract for largest ever inter-array cable order with Dogger Bank Wind Farm",https://doggerbank.com/press-releases/deme-offshore-signs-contract-for-largest-ever-inter-array-cable-order-with-dogger-bank-wind-farm/,2020-08-20,high,"Contract explicitly for EPCI of subsea inter-array cables for Dogger Bank A and B.",66kV array cable EPCI,B,,true
Dogger Bank B,United Kingdom,Export cables,Export cable supplier,NKT,developer website,"Dogger Bank confirms NKT for third phase of world’s largest offshore wind farm",https://doggerbank.com/press-releases/dogger-bank-confirms-nkt-for-third-phase-of-worlds-largest-offshore-wind-farm/,2021-06-30,medium,"Release says NKT already confirmed for A and B export cable systems.",HVDC export cable system,B,,true
Dogger Bank B,United Kingdom,Export cables,Export cable installer,NKT,developer website,"Dogger Bank confirms NKT for third phase of world’s largest offshore wind farm",https://doggerbank.com/press-releases/dogger-bank-confirms-nkt-for-third-phase-of-worlds-largest-offshore-wind-farm/,2021-06-30,medium,"NKT stated as delivery and installation contractor; A/B confirmation noted in same release.",HVDC export cable installation,B,,true
Dogger Bank B,United Kingdom,WTG,WTG OEM,GE Vernova,developer website,"GE’s Haliade-X 14MW turbine to debut at Dogger Bank C",https://doggerbank.com/press-releases/ges-haliade-x-14mw-turbine-to-debut-at-dogger-bank-c/,2020-12-18,high,"Release confirms GE 13MW Haliade-X for Dogger Bank A and B.",Haliade-X 13MW,B,,true
Dogger Bank B,United Kingdom,WTG,WTG installer,Seaway7,developer website,"Dogger Bank Wind Farm signs contract with Seaway7 confirming second turbine installation vessel",https://doggerbank.com/construction/dogger-bank-wind-farm-signs-contract-with-seaway7-confirming-second-turbine-installation-vessel/,2025-04-11,medium,"Seaway7 under contract for turbine transport/installation work in ongoing delivery programme.",Turbine transport and installation,B,,true
Dogger Bank C,United Kingdom,Foundations,MP fabricator,Sif,developer website,"Sif-Smulders to provide monopiles and transition pieces on all three phases of Dogger Bank Wind Farm",https://doggerbank.com/press-releases/sif-smulders-to-provide-monopiles-and-transition-pieces-on-all-three-phases-of-dogger-bank-wind-farm/,2021-11-12,high,"Release specifically references all 87 monopiles for phase C and Sif fabrication role.",Monopiles,C,"Sif-Smulders consortium",true
Dogger Bank C,United Kingdom,Foundations,TP fabricator,Smulders,developer website,"Sif-Smulders to provide monopiles and transition pieces on all three phases of Dogger Bank Wind Farm",https://doggerbank.com/press-releases/sif-smulders-to-provide-monopiles-and-transition-pieces-on-all-three-phases-of-dogger-bank-wind-farm/,2021-11-12,high,"Release specifically references phase C and Smulders TP role.",Transition pieces,C,"Sif-Smulders consortium",true
Dogger Bank C,United Kingdom,Foundations,Foundation installer,Seaway7,developer website,"Dogger Bank Wind Farm signs contract with Seaway7 confirming second turbine installation vessel",https://doggerbank.com/construction/dogger-bank-wind-farm-signs-contract-with-seaway7-confirming-second-turbine-installation-vessel/,2025-04-11,high,"Project states Seaway7 has contracts for transport and installation of foundations across all three phases.",Monopiles and transition pieces,C,,true
Dogger Bank C,United Kingdom,Inter-array cables,IAC supplier,Hellenic Cables,developer website,"Inter-array cable works completed on Dogger Bank A",https://doggerbank.com/construction/inter-array-cable-works-completed-on-dogger-bank-a/,2024-07-23,medium,"Release states Hellenic Cables and DEME are also responsible for B and C inter-array cables.",66kV array cable supply,C,,true
Dogger Bank C,United Kingdom,Inter-array cables,IAC installer,DEME Offshore,developer website,"Inter-array cable works completed on Dogger Bank A",https://doggerbank.com/construction/inter-array-cable-works-completed-on-dogger-bank-a/,2024-07-23,medium,"Release states DEME and Hellenic roles also apply to B and C.",66kV array cable installation,C,,true
Dogger Bank C,United Kingdom,Export cables,Export cable supplier,NKT,developer website,"Dogger Bank confirms NKT for third phase of world’s largest offshore wind farm",https://doggerbank.com/press-releases/dogger-bank-confirms-nkt-for-third-phase-of-worlds-largest-offshore-wind-farm/,2021-06-30,high,"Release confirms NKT as main contractor for Dogger Bank C HVDC export cable system and supply scope.",HVDC export cable system,C,,true
Dogger Bank C,United Kingdom,Export cables,Export cable installer,NKT,developer website,"Dogger Bank confirms NKT for third phase of world’s largest offshore wind farm",https://doggerbank.com/press-releases/dogger-bank-confirms-nkt-for-third-phase-of-worlds-largest-offshore-wind-farm/,2021-06-30,high,"Release confirms installation by NKT cable-laying vessel NKT Victoria.",HVDC export cable installation,C,,true
Dogger Bank C,United Kingdom,WTG,WTG OEM,GE Vernova,developer website,"GE’s Haliade-X 14MW turbine to debut at Dogger Bank C",https://doggerbank.com/press-releases/ges-haliade-x-14mw-turbine-to-debut-at-dogger-bank-c/,2020-12-18,high,"Release confirms GE as preferred turbine supplier for phase C (14MW variant).",Haliade-X 14MW,C,,true
Dogger Bank C,United Kingdom,WTG,WTG installer,Seaway7,developer website,"Dogger Bank Wind Farm signs contract with Seaway7 confirming second turbine installation vessel",https://doggerbank.com/construction/dogger-bank-wind-farm-signs-contract-with-seaway7-confirming-second-turbine-installation-vessel/,2025-04-11,high,"Contract explicitly for turbine transport and installation at Dogger Bank from mid-2026.",Turbine transport and installation,C,,true
Sofia,United Kingdom,Foundations,MP fabricator,EEW,developer website,"Offshore construction - Sofia Offshore Wind Farm",https://sofiawindfarm.com/offshore-construction/,2026-04-02,high,"Sofia contractor list states EEW will deliver Sofia's 100 extended monopile foundations under contract with Van Oord.",Extended monopiles,,"Contract with Van Oord",true
Sofia,United Kingdom,Foundations,Foundation installer,Van Oord,developer website,"Van Oord chosen for Sofia foundations and array cables",https://sofiawindfarm.com/latest/press-releases/van-oord-chosen-for-sofia-foundations-and-array-cables/,2020-12-10,high,"Van Oord selected as preferred EPCI supplier for monopile foundations and array cables.",Foundation transport and installation,,"EPCI for foundation and array package",true
Sofia,United Kingdom,Inter-array cables,IAC supplier,Hellenic Cables,developer website,"Offshore construction - Sofia Offshore Wind Farm",https://sofiawindfarm.com/offshore-construction/,2026-04-02,high,"Sofia contractor list states Hellenic Cables will design/engineer/manufacture/test/supply ~360 km of 66kV IAC.",66kV array cable supply,,,
Sofia,United Kingdom,Inter-array cables,IAC installer,Van Oord,developer website,"Van Oord chosen for Sofia foundations and array cables",https://sofiawindfarm.com/latest/press-releases/van-oord-chosen-for-sofia-foundations-and-array-cables/,2020-12-10,high,"Van Oord EPCI scope explicitly includes more than 350 km of array cables.",Array cable installation,,"EPCI for foundation and array package",true
Sofia,United Kingdom,Export cables,Export cable supplier,Prysmian Group,developer website,"Offshore construction - Sofia Offshore Wind Farm",https://sofiawindfarm.com/offshore-construction/,2026-04-02,high,"Sofia contractor list states Prysmian will design/supply/install/commission HVDC export link including 440 km offshore export cables.",HVDC export cable supply,,,
Sofia,United Kingdom,Export cables,Export cable installer,Prysmian Group,developer website,"Offshore construction - Sofia Offshore Wind Farm",https://sofiawindfarm.com/offshore-construction/,2026-04-02,high,"Sofia contractor list attributes HVDC export cable installation to Prysmian.",HVDC export cable installation,,,
Sofia,United Kingdom,WTG,WTG OEM,Siemens Gamesa,developer website,"Van Oord chosen for Sofia foundations and array cables",https://sofiawindfarm.com/latest/press-releases/van-oord-chosen-for-sofia-foundations-and-array-cables/,2020-12-10,high,"Release states Siemens Gamesa set to supply Sofia with 14MW turbines.",Offshore WTG supply,,,
Sofia,United Kingdom,WTG,WTG installer,Siemens Gamesa,developer website,"Offshore construction - Sofia Offshore Wind Farm",https://sofiawindfarm.com/offshore-construction/,2026-04-02,medium,"Sofia contractor list states SGRE will manufacture/fabricate/install 100 turbines.",WTG installation,,,
Sofia,United Kingdom,WTG,WTG installer,Cadeler,developer website,"Offshore construction - Sofia Offshore Wind Farm",https://sofiawindfarm.com/offshore-construction/,2026-04-02,medium,"Sofia contractor list notes Cadeler X-class vessels commissioned to transport and install 100 turbines.",WTG transport and installation,,,
Seagreen,United Kingdom,Foundations,Foundation installer,Seaway7,contractor website,"Seagreen Offshore Wind Farm - Seaway 7",https://www.seaway7.com/projects/seagreen-offshore-wind-farm/,2023-07-01,high,"Seaway7 project page states EPCI award for 114 suction bucket foundations and inner-array cables; offshore scope completed July 2023.",Suction bucket jacket foundations,,,
Seagreen,United Kingdom,Inter-array cables,IAC installer,Seaway7,contractor website,"Seagreen Offshore Wind Farm - Seaway 7",https://www.seaway7.com/projects/seagreen-offshore-wind-farm/,2023-07-01,high,"Same source confirms Seaway7 EPCI scope included inner-array cables (about 300 km).",Inner-array cable installation,,,
Seagreen,United Kingdom,Export cables,Export cable supplier,Nexans,OEM website,"Nexans awarded turnkey contract to supply power export cables for Scotland’s Seagreen offshore windfarm project",https://www.nexans.com/press-releases/nexans-awarded-turnkey-contract-to-supply-power-export-cables-for-scotlands-seagreen-offshore-windfarm-project/,2020-06-11,high,"Nexans release confirms supply scope for Seagreen export cables.",Offshore and onshore export cables,,,
